ID,price_usd,surface_total,expenses
10036,100000.0,71,4400.0
4021,770000.0,254,0.0
7618,171000.0,54,0.0
10098,280000.0,360,0.0
6200,118000.0,97,0.0
9833,121000.0,52,0.0
7739,113731.0,46,0.0
3320,145000.0,79,3500.0
9156,78000.0,48,0.0
357,360000.0,205,0.0
9207,140000.0,94,0.0
4239,220000.0,72,0.0
4608,249500.0,78,0.0
9931,178000.0,63,2700.0
9868,72000.0,38,0.0
2885,760000.0,192,0.0
119,139000.0,116,0.0
5988,105000.0,49,1200.0
5498,150000.0,75,2800.0
1778,148300.0,36,0.0
9275,240000.0,127,0.0
779,135000.0,65,4000.0
494,256500.0,54,0.0
2685,250000.0,75,5000.0
2054,450000.0,114,5500.0
509,360000.0,147,8969.0
7245,240000.0,122,3400.0
5561,132000.0,54,0.0
5934,120000.0,65,0.0
1820,60529.0,26,0.0
9506,800000.0,500,0.0
5207,1400000.0,210,0.0
6370,115990.0,54,0.0
647,580000.0,250,0.0
665,310000.0,143,0.0
3472,265000.0,76,0.0
57,100509.0,42,0.0
4214,550000.0,126,9000.0
3889,295000.0,75,0.0
2814,174400.0,55,0.0
2259,265000.0,83,5635.0
8973,350000.0,94,0.0
3622,720000.0,219,20660.0
7644,125000.0,43,0.0
8817,117149.0,55,0.0
5300,175000.0,106,0.0
9837,465000.0,204,0.0
8976,65000.0,29,0.0
2207,110000.0,56,3100.0
1801,1550000.0,265,0.0
9505,110000.0,42,0.0
5959,84000.0,42,0.0
9312,155000.0,76,0.0
8783,235000.0,106,0.0
6307,245000.0,66,0.0
5547,250000.0,100,0.0
4456,352000.0,200,0.0
5720,125000.0,73,0.0
3894,600000.0,192,0.0
1563,480000.0,145,0.0
4648,348900.0,184,0.0
742,99500.0,54,0.0
664,485000.0,183,6000.0
7402,150000.0,84,4000.0
9098,420000.0,162,0.0
6212,359900.0,174,0.0
2241,220000.0,102,0.0
7335,240000.0,122,3400.0
4271,298000.0,163,12000.0
681,145000.0,50,0.0
6321,133000.0,73,0.0
6754,1360000.0,288,0.0
5878,210000.0,148,0.0
4639,115139.0,38,0.0
8911,153000.0,42,0.0
9904,200000.0,174,0.0
877,67000.0,22,0.0
8146,165000.0,61,0.0
6867,350000.0,130,5500.0
9822,95000.0,57,0.0
2700,485000.0,107,0.0
763,235000.0,90,1090.0
3962,220000.0,67,0.0
6596,87500.0,43,0.0
3752,360000.0,128,8816.0
9947,539000.0,217,8000.0
3342,120000.0,45,0.0
8134,170000.0,72,0.0
4229,118000.0,37,0.0
7926,119999.0,36,0.0
162,115000.0,69,0.0
